key,value
Highway/Road/Alley/Street/Sidewalk,7791
Residence/Home,3349
Other/Unknown,3015
Grocery/Supermarket,1482
Park/Playground,582
Specialty Store,538
Shopping Mall,521
Department/Discount Store,415
Restaurant,412
Drug Store/Doctor's Office/Hospital,322
Service/Gas Station,232
Bank/Savings and Loan,191
Convenience Store,137
Parking/Drop Lot/Garage,133
Bar/Nightclub,125
Hotel/Motel/Etc.,122
Shelter-Mission/Homeless,85
Commercial/Office Building,82
Air/Bus/Train Terminal,65
Liquor Store,57
Government/Public Building,27
Rest Area,26
ATM Separate from Bank,25
School-Elementary/Secondary,25
School-College/University,12
Industrial Site,8
Church/Synagogue/Temple/Mosque,7
Construction Site,6
Jail/Prison/Penitentiary/Corrections Facility,6
Gambling Facility/Casino/Race Track,5
Rental Storage Facility,3
Arena/Stadium/Fairgrounds/Coliseum,2
Dock/Wharf/Freight/Modal Terminal,2
Abandoned/Condemned Structure,1
Daycare Facility,1
Amusement Park,0
Auto Dealership New/Used,0
Camp/Campground,0
Community Center,0
Cyberspace,0
Farm Facility,0
Field/Woods,0
Lake/Waterway/Beach,0
Military Installation,0
Not Specified,0
School/College,0
Tribal Lands,0
