key,value
Personal Weapons,8620
Knife/Cutting Instrument,2959
Handgun,1763
,1570
Other,899
Firearm,861
Blunt Object,631
Other Firearm,300
Poison,67
Motor Vehicle/Vessel,26
Drugs/Narcotics/Sleeping Pills,8
Rifle,6
Shotgun,6
Explosives,2
Asphyxiation,1
Club/Blackjack/Brass Knuckles,0
Drowning,0
Fire/Incendiary Device,0
Firearm (Automatic),0
Handgun (Automatic),0
Lethal Cutting Instrument,0
Other Firearm (Automatic),0
Pushed or Thrown Out Window,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
Unknown,0
