key,value
Residence/Home,180
Highway/Road/Alley/Street/Sidewalk,42
Parking/Drop Lot/Garage,12
Jail/Prison/Penitentiary/Corrections Facility,9
Other/Unknown,8
Construction Site,6
Camp/Campground,5
Government/Public Building,5
Hotel/Motel/Etc.,5
School-Elementary/Secondary,5
Field/Woods,3
Lake/Waterway/Beach,2
Park/Playground,2
Service/Gas Station,2
Arena/Stadium/Fairgrounds/Coliseum,1
Bar/Nightclub,1
Rental Storage Facility,1
Restaurant,1
Abandoned/Condemned Structure,0
Air/Bus/Train Terminal,0
Amusement Park,0
ATM Separate from Bank,0
Auto Dealership New/Used,0
Bank/Savings and Loan,0
Church/Synagogue/Temple/Mosque,0
Commercial/Office Building,0
Community Center,0
Convenience Store,0
Cyberspace,0
Daycare Facility,0
Department/Discount Store,0
Dock/Wharf/Freight/Modal Terminal,0
Drug Store/Doctor's Office/Hospital,0
Farm Facility,0
Gambling Facility/Casino/Race Track,0
Grocery/Supermarket,0
Industrial Site,0
Liquor Store,0
Military Installation,0
Not Specified,0
Rest Area,0
School-College/University,0
School/College,0
Shelter-Mission/Homeless,0
Shopping Mall,0
Specialty Store,0
Tribal Lands,0
