key,value
Personal Weapons,105
Knife/Cutting Instrument,46
Asphyxiation,29
Handgun,25
Motor Vehicle/Vessel,23
Blunt Object,19
Other,18
Firearm,6
Handgun (Automatic),5
Shotgun,4
Unknown,3
,2
Rifle,2
Fire/Incendiary Device,1
Other Firearm,1
Club/Blackjack/Brass Knuckles,0
Drowning,0
Drugs/Narcotics/Sleeping Pills,0
Explosives,0
Firearm (Automatic),0
Lethal Cutting Instrument,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
