key,value
Handgun,7657
Personal Weapons,3968
Knife/Cutting Instrument,3883
Other,3256
Blunt Object,2390
Firearm,1505
Motor Vehicle/Vessel,506
Unknown,410
,227
Rifle,124
Other Firearm,75
Asphyxiation,70
Handgun (Automatic),66
Shotgun,61
Poison,56
Fire/Incendiary Device,51
Firearm (Automatic),18
Drugs/Narcotics/Sleeping Pills,5
Explosives,4
Club/Blackjack/Brass Knuckles,0
Drowning,0
Lethal Cutting Instrument,0
Other Firearm (Automatic),0
Pushed or Thrown Out Window,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
