key,value
Highway/Road/Alley/Street/Sidewalk,995
Residence/Home,199
Other/Unknown,93
Grocery/Supermarket,18
Bar/Nightclub,8
Parking/Drop Lot/Garage,7
Restaurant,7
Service/Gas Station,7
Shelter-Mission/Homeless,7
Department/Discount Store,6
Park/Playground,6
Dock/Wharf/Freight/Modal Terminal,5
Community Center,4
Drug Store/Doctor's Office/Hospital,4
Specialty Store,4
Air/Bus/Train Terminal,3
Jail/Prison/Penitentiary/Corrections Facility,3
Commercial/Office Building,2
Bank/Savings and Loan,1
Convenience Store,1
Hotel/Motel/Etc.,1
Industrial Site,1
Liquor Store,1
Rental Storage Facility,1
Abandoned/Condemned Structure,0
Amusement Park,0
Arena/Stadium/Fairgrounds/Coliseum,0
ATM Separate from Bank,0
Auto Dealership New/Used,0
Camp/Campground,0
Church/Synagogue/Temple/Mosque,0
Construction Site,0
Cyberspace,0
Daycare Facility,0
Farm Facility,0
Field/Woods,0
Gambling Facility/Casino/Race Track,0
Government/Public Building,0
Lake/Waterway/Beach,0
Military Installation,0
Not Specified,0
Rest Area,0
School-College/University,0
School-Elementary/Secondary,0
School/College,0
Shopping Mall,0
Tribal Lands,0
