key,value
Residence/Home,1718
Highway/Road/Alley/Street/Sidewalk,879
Jail/Prison/Penitentiary/Corrections Facility,831
Other/Unknown,524
Parking/Drop Lot/Garage,368
Construction Site,115
Bar/Nightclub,69
Park/Playground,63
School/College,57
Drug Store/Doctor's Office/Hospital,55
Hotel/Motel/Etc.,50
Restaurant,40
Commercial/Office Building,34
Convenience Store,31
Field/Woods,31
Government/Public Building,31
Specialty Store,31
Service/Gas Station,27
Air/Bus/Train Terminal,24
Department/Discount Store,10
Grocery/Supermarket,8
Liquor Store,7
School-College/University,7
Lake/Waterway/Beach,5
Rental Storage Facility,3
Church/Synagogue/Temple/Mosque,2
Bank/Savings and Loan,1
Abandoned/Condemned Structure,0
Amusement Park,0
Arena/Stadium/Fairgrounds/Coliseum,0
ATM Separate from Bank,0
Auto Dealership New/Used,0
Camp/Campground,0
Community Center,0
Cyberspace,0
Daycare Facility,0
Dock/Wharf/Freight/Modal Terminal,0
Farm Facility,0
Gambling Facility/Casino/Race Track,0
Industrial Site,0
Military Installation,0
Not Specified,0
Rest Area,0
School-Elementary/Secondary,0
Shelter-Mission/Homeless,0
Shopping Mall,0
Tribal Lands,0
