key,value
Handgun,20
Other Firearm,16
Knife/Cutting Instrument,9
Personal Weapons,8
Blunt Object,4
Rifle,2
Shotgun,2
Unknown,2
Drugs/Narcotics/Sleeping Pills,1
Handgun (Automatic),1
Motor Vehicle/Vessel,1
Other,1
Asphyxiation,0
Club/Blackjack/Brass Knuckles,0
Drowning,0
Explosives,0
Fire/Incendiary Device,0
Firearm,0
Firearm (Automatic),0
Lethal Cutting Instrument,0
,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
