key,value
Personal Weapons,125
Other,81
Knife/Cutting Instrument,29
Blunt Object,22
Handgun,20
Motor Vehicle/Vessel,15
Asphyxiation,14
Firearm,8
Unknown,4
Handgun (Automatic),2
Drugs/Narcotics/Sleeping Pills,1
Club/Blackjack/Brass Knuckles,0
Drowning,0
Explosives,0
Fire/Incendiary Device,0
Firearm (Automatic),0
Lethal Cutting Instrument,0
,0
Other Firearm,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Rifle,0
Rifle (Automatic),0
Shotgun,0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
