key,value
Highway/Road/Alley/Street/Sidewalk,31
Convenience Store,24
Residence/Home,14
Hotel/Motel/Etc.,7
Parking/Drop Lot/Garage,7
Bank/Savings and Loan,6
Grocery/Supermarket,5
Restaurant,5
Department/Discount Store,4
Other/Unknown,3
Church/Synagogue/Temple/Mosque,2
Service/Gas Station,2
ATM Separate from Bank,1
Commercial/Office Building,1
Park/Playground,1
School/College,1
Abandoned/Condemned Structure,0
Air/Bus/Train Terminal,0
Amusement Park,0
Arena/Stadium/Fairgrounds/Coliseum,0
Auto Dealership New/Used,0
Bar/Nightclub,0
Camp/Campground,0
Community Center,0
Construction Site,0
Cyberspace,0
Daycare Facility,0
Dock/Wharf/Freight/Modal Terminal,0
Drug Store/Doctor's Office/Hospital,0
Farm Facility,0
Field/Woods,0
Gambling Facility/Casino/Race Track,0
Government/Public Building,0
Industrial Site,0
Jail/Prison/Penitentiary/Corrections Facility,0
Lake/Waterway/Beach,0
Liquor Store,0
Military Installation,0
Not Specified,0
Rental Storage Facility,0
Rest Area,0
School-College/University,0
School-Elementary/Secondary,0
Shelter-Mission/Homeless,0
Shopping Mall,0
Specialty Store,0
Tribal Lands,0
