key,value
"Personal Weapons",37
"Knife/Cutting Instrument",15
"Firearm",10
"Other",9
"Blunt Object",4
"Asphyxiation",2
"Handgun",1
"Motor Vehicle/Vessel",1
"Other Firearm",1
"Unknown",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Drugs/Narcotics/Sleeping Pills",0
"Explosives",0
"Fire/Incendiary Device",0
"Firearm (Automatic)",0
"Handgun (Automatic)",0
"Lethal Cutting Instrument",0
"None",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Rifle",0
"Rifle (Automatic)",0
"Shotgun",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
