key,value
"Handgun",10
"Personal Weapons",8
"Blunt Object",6
"Knife/Cutting Instrument",5
"Firearm",2
"Other",2
"Other Firearm",1
"Poison",1
"Asphyxiation",0
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Drugs/Narcotics/Sleeping Pills",0
"Explosives",0
"Fire/Incendiary Device",0
"Firearm (Automatic)",0
"Handgun (Automatic)",0
"Lethal Cutting Instrument",0
"Motor Vehicle/Vessel",0
"None",0
"Other Firearm (Automatic)",0
"Pushed or Thrown Out Window",0
"Rifle",0
"Rifle (Automatic)",0
"Shotgun",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
"Unknown",0
